Column1;Column2;Column3;Column4
XXI APRILE;Degrado ambientale;Inquinamento atmosferico;Amianto
DAGNINI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Imbrattati/sporchi
MICHELINO;Degrado ambientale;Scarichi idrici;Perdite
EMILIA PONENTE;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
RAVONE;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
TRIUMVIRATO-PIETRA;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
RAVONE;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
ZANARDI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
VIA VITTORIO VENETO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
CANALE DI RENO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
MALPIGHI-2;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Carenti
VIA TOSCANA;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
VIA FERRARESE;Degrado sociale;Segnalazioni;Senza fissa dimora
FOSSOLO;Microcriminalita;Furti/rapine;
XXI APRILE;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
RAVONE;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
MARCONI-2;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
VIA DEL LAVORO;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
CROCE COPERTA;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
SAN GIUSEPPE;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
CIRENAICA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Imbrattati/sporchi
BORGO CENTRO;Degrado urbano;Edifici pubblici;Abbandonati
SAN GIUSEPPE;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
SAN GIUSEPPE;Degrado urbano;Piazze/strade;Dissestate
MARCONI-2;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
VELODROMO;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
FOSSOLO;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
ROVERI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Imbrattati/sporchi
MEZZOFANTI;Degrado urbano;Piazze/strade;Dissestate
CIRENAICA;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
VIA VITTORIO VENETO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
VIA MONDO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
BEVERARA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
LAZZARETTO;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
DAGNINI;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
MALPIGHI-2;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
VIA FERRARESE;Degrado sociale;Segnalazioni;Senza fissa dimora
SAN SAVINO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
PIAZZA DELL'UNITA';Degrado urbano;Piazze/strade;Imbrattate
SAN SAVINO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
CROCE DEL BIACCO;Degrado urbano;;
CANALE DI RENO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Imbrattati/sporchi
CANALE DI RENO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
CROCE COPERTA;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
IRNERIO-1;Degrado urbano;Edifici pubblici;Danneggiati
BATTINDARNO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
IRNERIO-2;Degrado sociale;Segnalazioni;Bivacco
SAN GIUSEPPE;Degrado urbano;Piazze/strade;Dissestate
BEVERARA;Degrado sociale;Segnalazioni;Bivacco
MALPIGHI-2;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
DAGNINI;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
LAGHETTI DEL ROSARIO;Degrado sociale;Segnalazioni;Bivacco
RIGOSA;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
VIA FERRARESE;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
MEZZOFANTI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
VIA TOSCANA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
PIAZZA DELL'UNITA';Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
GALVANI-2;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
GUELFA;Degrado urbano;Illuminazione pubblica/lampioni;Carente
BEVERARA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
CROCE COPERTA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
VIA DEL LAVORO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
MARCONI-1;Microcriminalita;Comportamenti sanzionabili;
FOSSOLO;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
ARCOVEGGIO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
VIA ARNO;Degrado urbano;Illuminazione pubblica/lampioni;Carente
MENGOLI;Degrado urbano;Piazze/strade;Dissestate
MARCONI-2;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Pulizia strade
PONTEVECCHIO;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da persone
AEROPORTO;Degrado urbano;Piazze/strade;Dissestate
XXI APRILE;Degrado urbano;Cantieri stradali;
XXI APRILE;Degrado urbano;Cantieri stradali;
ZANARDI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
XXI APRILE;Degrado urbano;Edifici pubblici;Abbandonati
VIA FERRARESE;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Imbrattati/sporchi
VIA FERRARESE;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
CORELLI;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
MARCONI-2;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Muffe e degrado
BEVERARA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
AEROPORTO;Degrado urbano;Piazze/strade;Non/mal segnalate
GALVANI-2;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
MEZZOFANTI;Degrado urbano;Piazze/strade;Imbrattate
GALVANI-1;Degrado sociale;Conflitti;Fra adulti/fra vicini
PADERNO;Degrado urbano;Piazze/strade;Non/mal segnalate
LA BIRRA;Degrado urbano;Cantieri edili;Inquinanti/rumorosi
TRIUMVIRATO-PIETRA;Degrado urbano;Cantieri edili;Abusivi
MONTE DONATO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
CORELLI;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
MALPIGHI-1;Degrado sociale;Conflitti;Fra giovani
XXI APRILE;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
PESCAROLA;Degrado urbano;Cantieri edili;Abusivi
VIA FERRARESE;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
DAGNINI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Carenti
ZANARDI;Degrado ambientale;Inquinamento acustico;Privati
ARCOVEGGIO;Degrado urbano;Edifici privati;Abbandonati
XXI APRILE;Degrado urbano;Piazze/strade;Dissestate
XXI APRILE;Degrado urbano;Piazze/strade;Dissestate
OSSERVANZA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
LAVINO DI MEZZO;Degrado urbano;Illuminazione pubblica/lampioni;Carente
MARCONI-2;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
MARCONI-2;Degrado ambientale;Inquinamento acustico;Cantieri e attivita estrattive
BATTINDARNO;Degrado urbano;Piazze/strade;
ARCOVEGGIO;Microcriminalita;Spaccio;
SAN SAVINO;Degrado ambientale;Inquinamento acustico;Privati
LAVINO DI MEZZO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
VIA DEL LAVORO;Degrado sociale;Conflitti;Fra adulti/fra vicini
VILLAGGIO DELLA BARCA;Degrado urbano;Edifici pubblici;
IRNERIO-1;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da piccioni
IRNERIO-1;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
BATTINDARNO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
ZANARDI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
EMILIA PONENTE;Degrado urbano;Piazze/strade;Dissestate
CROCE COPERTA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
CROCE COPERTA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
VIA DEL VIVAIO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
CROCE COPERTA;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
MEZZOFANTI;Degrado urbano;Piazze/strade;Dissestate
CORELLI;Degrado sociale;Segnalazioni;Bivacco
BITONE;Degrado urbano;Piazze/strade;Dissestate
BORGO CENTRO;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
CANALE DI RENO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
BORGO CENTRO;Microcriminalita;Vandalismi;
ROVERI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
VIA DEL LAVORO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
SAN GIUSEPPE;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Non/mal segnalati
AGUCCHI;Degrado urbano;Piazze/strade;Dissestate
MARCONI-2;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da persone
XXI APRILE;Degrado urbano;Piazze/strade;Dissestate
FOSSOLO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
VIA MONDO;Degrado sociale;Conflitti;Fra adulti/fra vicini
BITONE;Degrado sociale;Segnalazioni;Bivacco
BORGO CENTRO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
TRIUMVIRATO-PIETRA;Degrado urbano;Piste ciclabili;Imbrattate/sporche
GALVANI-2;Degrado urbano;Cantieri edili;Non/mal segnalati
MALPIGHI-2;Degrado urbano;Cantieri edili;Abusivi
AGUCCHI;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
CANALE DI RENO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
GALVANI-2;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
ARCOVEGGIO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
SAVENA ABBANDONATO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
CROCE COPERTA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
PIAZZA DELL'UNITA';Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
IRNERIO-1;Degrado ambientale;Inquinamento acustico;Rumore da sorgenti fisse
RAVONE;Degrado ambientale;Inquinamento acustico;Piazze/strade
IRNERIO-2;Microcriminalita;Occupazioni abusive;
MEZZOFANTI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
CHIESANUOVA;Degrado urbano;Piazze/strade;Dissestate
CHIESANUOVA;Degrado urbano;Piazze/strade;Dissestate
MALPIGHI-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
OSSERVANZA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
OSSERVANZA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
VIA DEL LAVORO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
VIA DEL LAVORO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
LAGHETTI DEL ROSARIO;Degrado ambientale;Scarichi idrici;Perdite
BEVERARA;Degrado sociale;Segnalazioni;
CROCE COPERTA;Microcriminalita;Occupazioni abusive;Terreni pubblici
IRNERIO-2;Degrado sociale;Segnalazioni;Bivacco
VIA TOSCANA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
SAN MICHELE IN BOSCO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
STADIO-MELONCELLO;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
BEVERARA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
BORGO CENTRO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
CAAB;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
PONTEVECCHIO;Degrado sociale;Segnalazioni;Senza fissa dimora
PILASTRO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
FOSSOLO;Degrado sociale;Segnalazioni;Bande giovanili
MARCONI-1;Degrado urbano;Cantieri edili;
VIA FERRARESE;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
BEVERARA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
VIA VITTORIO VENETO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
TRIUMVIRATO-PIETRA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
XXI APRILE;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
VIA FERRARESE;Degrado urbano;Edifici privati;Abusivi
IRNERIO-1;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
VIA FERRARESE;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
EMILIA PONENTE;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Deiezioni cani
TIRO A SEGNO;Degrado urbano;;
BATTINDARNO;Degrado urbano;Piazze/strade;Dissestate
CORELLI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
AEROPORTO;Degrado urbano;Piazze/strade;Dissestate
CIRENAICA;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Pulizia strade
SAN SAVINO;Degrado sociale;Segnalazioni;Punkabbestia
AEROPORTO;Degrado urbano;Piazze/strade;Non/mal segnalate
GALVANI-2;Degrado ambientale;Inquinamento acustico;Piazze/strade
MARCONI-2;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
ZANARDI;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
BITONE;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
EX MERCATO ORTOFRUTTICOLO;Degrado sociale;Segnalazioni;Bivacco
CROCE COPERTA;Degrado urbano;Illuminazione pubblica/lampioni;Carente
VIA FERRARESE;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
VELODROMO;Degrado urbano;Cantieri edili;Abusivi
ARCOVEGGIO;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
ARCOVEGGIO;Degrado urbano;Piazze/strade;Dissestate
VIA DEL LAVORO;Degrado urbano;Piste ciclabili;Dissestate
CORELLI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
CHIESANUOVA;Degrado urbano;Illuminazione pubblica/lampioni;Carente
GALVANI-1;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
MEZZOFANTI;Degrado urbano;Piazze/strade;Dissestate
CROCE DEL BIACCO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
CROCE DEL BIACCO;Degrado urbano;Piste ciclabili;Dissestate
DUCATI-VILLAGGIO INA;Degrado urbano;Piazze/strade;Dissestate
DUCATI-VILLAGGIO INA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
EMILIA PONENTE;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
MEZZOFANTI;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
PONTEVECCHIO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Imbrattati/sporchi
BITONE;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
MALPIGHI-2;Degrado urbano;Cantieri edili;Non/mal segnalati
CROCE DEL BIACCO;Degrado urbano;Piste ciclabili;Dissestate
CROCE DEL BIACCO;Degrado urbano;Piste ciclabili;Dissestate
IRNERIO-2;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da persone
VIA ARNO;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Pulizia strade
STADIO-MELONCELLO;Degrado urbano;Cantieri stradali;Abusivi
GALVANI-2;Degrado ambientale;Scarichi idrici;Maleodoranti
CASERME ROSSE-MANIFATTURA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
DAGNINI;Degrado ambientale;Dissesto idro-geologico;Allagamenti
MONTE DONATO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
MEZZOFANTI;Degrado urbano;Cantieri edili;Abbandonati
VIA DEL LAVORO;Degrado ambientale;Inquinamento acustico;Cantieri e attivita estrattive
CIRENAICA;Degrado sociale;Segnalazioni;Senza fissa dimora
MARCONI-2;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
LAVINO DI MEZZO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
GALVANI-2;Degrado ambientale;Rifiuti/rottami;Siringhe/Preservativi
LAZZARETTO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
IRNERIO-2;Degrado sociale;Segnalazioni;Tossicodipendenti
IRNERIO-2;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da persone
CROCE DEL BIACCO;Degrado urbano;Cantieri stradali;
MARCONI-2;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
VIA LARGA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
PONTEVECCHIO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
STADIO-MELONCELLO;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
AGUCCHI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
CAVEDONE;Degrado urbano;Illuminazione pubblica/lampioni;Carente
EMILIA PONENTE;Degrado ambientale;Dissesto idro-geologico;Allagamenti
ARCOVEGGIO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
SAN LUCA;Degrado urbano;Piazze/strade;Dissestate
BITONE;Microcriminalita;Occupazioni abusive;Edifici privati
LA DOZZA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
SAVENA ABBANDONATO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
SAN SAVINO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
SAN SAVINO;Microcriminalita;Occupazioni abusive;Terreni pubblici
EMILIA PONENTE;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
GALVANI-2;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
GUELFA;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
ARCOVEGGIO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
MENGOLI;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
VELODROMO;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da piccioni
PIAZZA DELL'UNITA';Microcriminalita;Spaccio;
MEZZOFANTI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
VIA FERRARESE;Microcriminalita;Furti/rapine;
GALVANI-2;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
TRIUMVIRATO-PIETRA;Degrado ambientale;Dissesto idro-geologico;Allagamenti
VIA DEL LAVORO;Degrado sociale;Segnalazioni;Nomadi
VELODROMO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
GALVANI-2;Degrado ambientale;Scarichi idrici;Maleodoranti
GUELFA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Non/mal segnalati
TRIUMVIRATO-PIETRA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
CHIESANUOVA;Degrado urbano;Piazze/strade;Dissestate
STADIO-MELONCELLO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
OSPEDALE SANT'ORSOLA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
IRNERIO-2;Degrado urbano;Piazze/strade;Dissestate
DUCATI-VILLAGGIO INA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
DAGNINI;Degrado urbano;Piazze/strade;Dissestate
SAN GIUSEPPE;Degrado urbano;Piazze/strade;Dissestate
CANALE DI RENO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
MALPIGHI-2;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
IRNERIO-2;Degrado sociale;Segnalazioni;Bivacco
CROCE DEL BIACCO;Degrado sociale;Segnalazioni;Senza fissa dimora
PESCAROLA;Degrado urbano;Piste ciclabili;Dissestate
DUCATI-VILLAGGIO INA;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Pulizia strade
BATTINDARNO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
BEVERARA;Degrado urbano;Piazze/strade;Non/mal segnalate
BATTINDARNO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
DUCATI-VILLAGGIO INA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
GALVANI-2;Degrado urbano;Cantieri edili;Inquinanti/rumorosi
MALPIGHI-2;Microcriminalita;Spaccio;
CIRENAICA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Imbrattati/sporchi
MALPIGHI-1;Degrado sociale;Segnalazioni;Bande giovanili
VIA TOSCANA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
VIA ARNO;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
GUELFA;Degrado urbano;Edifici privati;Abbandonati
MALPIGHI-1;Degrado urbano;Cantieri edili;Inquinanti/rumorosi
VIA ARNO;Degrado urbano;Piazze/strade;Dissestate
CASERME ROSSE-MANIFATTURA;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
LAVINO DI MEZZO;Degrado sociale;Segnalazioni;Prostituzione
SAN SAVINO;Degrado urbano;Edifici pubblici;Danneggiati
VIA MONDO;Degrado urbano;Piste ciclabili;Dissestate
DUCATI-VILLAGGIO INA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
VIA FERRARESE;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
GUELFA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
MALPIGHI-2;Degrado urbano;Piazze/strade;Dissestate
ARCOVEGGIO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
GALVANI-2;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
VIA FERRARESE;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
VIA TOSCANA;Degrado urbano;Cantieri stradali;Non/mal segnalati
VIA FERRARESE;Degrado sociale;Segnalazioni;Mendicanti
BEVERARA;Degrado sociale;Segnalazioni;Bande giovanili
SAN SAVINO;Degrado sociale;Segnalazioni;Bivacco
VIA TOSCANA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
PIAZZA DELL'UNITA';Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
MENGOLI;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Pulizia strade
MENGOLI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
PILASTRO;Degrado urbano;Piazze/strade;Imbrattate
MALPIGHI-2;Degrado sociale;Segnalazioni;Bivacco
MALPIGHI-2;Degrado urbano;Edifici privati;Abusivi
MALPIGHI-2;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
ZANARDI;Degrado urbano;Cantieri edili;Inquinanti/rumorosi
PONTEVECCHIO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
MONTE DONATO;Degrado urbano;Piazze/strade;Dissestate
MONTE DONATO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
EMILIA PONENTE;Degrado urbano;Piazze/strade;Dissestate
BATTINDARNO;Degrado urbano;;
LA BIRRA;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Deiezioni cani
SAN MICHELE IN BOSCO;Degrado sociale;Segnalazioni;Bivacco
CORELLI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
CASERME ROSSE-MANIFATTURA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
MARCONI-1;Degrado urbano;Piazze/strade;Dissestate
VIA ARNO;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
MICHELINO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
MARCONI-1;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
CANALE DI RENO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
IRNERIO-1;Degrado sociale;;
MALPIGHI-1;Microcriminalita;Furti/rapine;
VIA FERRARESE;Degrado urbano;Cantieri stradali;
RIGOSA;Degrado urbano;Cantieri edili;Inquinanti/rumorosi
DUCATI-VILLAGGIO INA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
XXI APRILE;Degrado sociale;Segnalazioni;Tossicodipendenti
MALPIGHI-2;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
PILASTRO;Degrado urbano;Piazze/strade;Dissestate
PILASTRO;Degrado ambientale;Inquinamento acustico;Privati
CASERME ROSSE-MANIFATTURA;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
GALVANI-2;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;
MALPIGHI-1;Degrado urbano;Cantieri stradali;Abusivi
STADIO-MELONCELLO;Degrado ambientale;Inquinamento acustico;Cantieri e attivita estrattive
MARCONI-1;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
SAN SAVINO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
STADIO-MELONCELLO;Degrado sociale;Conflitti;Fra adulti/fra vicini
PADERNO;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
MONTE DONATO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
